areaname,musym,muname,muacres,farmlndcl,compname,nirrcapcl,nirrcapscl,PI
"Adams County, Ohio",OmC2,"Omulga silt loam, 6 to 15 percent slopes, eroded",461,Not prime farmland,Omulga,3,e,58
"Adams County, Ohio",WmC2,"Williamsburg silt loam, 6 to 15 percent slopes, eroded",451,Not prime farmland,Williamsburg,3,e,65
"Adams County, Ohio",LkD2,"Licking silt loam, 15 to 25 percent slopes, eroded",349,Not prime farmland,Licking,6,e,42
"Adams County, Ohio",TrB,"Trappist silt loam, 3 to 8 percent slopes",261,Not prime farmland,Trappist,2,e,58
"Adams County, Ohio",OwC2,"Otwell silt loam, 6 to 15 percent slopes, eroded",231,Not prime farmland,Otwell,3,e,57
"Adams County, Ohio",TrD2,"Trappist silt loam, 15 to 25 percent slopes, eroded",223,Not prime farmland,Trappist,6,e,37
"Adams County, Ohio",PtB,"Plainfield sand, 3 to 8 percent slopes",179,Not prime farmland,Plainfield,4,s,53
"Adams County, Ohio",Pe,Peoga silt loam,146,Prime farmland if drained,Peoga,3,w,63
"Adams County, Ohio",LoC2,"Loudon silt loam, 6 to 15 percent slopes, eroded",100,Not prime farmland,Loudon,3,e,64
"Adams County, Ohio",LdD,"Latham-Wharton silt loams, 15 to 25 percent slopes",87,Not prime farmland,Latham,6,e,42
"Adams County, Ohio",LdD,"Latham-Wharton silt loams, 15 to 25 percent slopes",87,Not prime farmland,Wharton,4,e,42
"Adams County, Ohio",EnB,"Elkinsville silt loam, 2 to 6 percent slopes",86,All areas are prime farmland,Elkinsville,2,e,73
"Adams County, Ohio",RoC2,"Rossmoyne silt loam, 6 to 12 percent slopes, eroded",55,Not prime farmland,Rossmoyne,3,e,66
"Adams County, Ohio",OtB,"Otwell silt loam, 2 to 6 percent slopes",16,All areas are prime farmland,Otwell,2,e,64
"Adams County, Ohio",SbB,"Sardinia silt loam, 2 to 6 percent slopes",6,All areas are prime farmland,Sardinia,2,e,69
"Adams County, Ohio",SdB,"Sciotoville silt loam, 1 to 8 percent slopes",6,All areas are prime farmland,Sciotoville,2,e,75
"Adams County, Ohio",OxD3,"Opequon clay, 6 to 18 percent slopes, severely eroded",1,Not prime farmland,Opequon,4,e,33
"Allen County, Ohio",PmA,"Pewamo silty clay loam, 0 to 1 percent slopes",65042,Prime farmland if drained,Pewamo,2,w,84
"Allen County, Ohio",Blg1B1,"Blount silt loam, ground moraine, 2 to 4 percent slopes",37735,Prime farmland if drained,Blount,2,e,75
"Allen County, Ohio",Blg1A1,"Blount silt loam, ground moraine, 0 to 2 percent slopes",31396,Prime farmland if drained,Blount,2,w,78
"Allen County, Ohio",Ble1B1,"Blount silt loam, end moraine, 2 to 4 percent slopes",29160,Prime farmland if drained,Blount,2,e,75
"Allen County, Ohio",Gwg1B1,"Glynwood silt loam, ground moraine, 2 to 6 percent slopes",6258,All areas are prime farmland,Glynwood,2,e,70
"Allen County, Ohio",HcA,"Hoytville silty clay loam, 0 to 1 percent slopes",6143,Prime farmland if drained,Hoytville,2,w,83
"Allen County, Ohio",Gwe1B1,"Glynwood silt loam, end moraine, 2 to 6 percent slopes",5924,All areas are prime farmland,Glynwood,2,e,70
"Allen County, Ohio",Ble1A1,"Blount silt loam, end moraine, 0 to 2 percent slopes",5902,Prime farmland if drained,Blount,2,w,78
"Allen County, Ohio",SrA,"Sloan silty clay loam, till substratum, 0 to 1 percent slopes, frequently flooded",4409,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Sloan,3,w,78
"Allen County, Ohio",Gwe5B2,"Glynwood clay loam, end moraine, 2 to 6 percent slopes, eroded",3452,All areas are prime farmland,Glynwood,2,e,65
"Allen County, Ohio",CyA,"Cygnet loam, 0 to 3 percent slopes",3284,All areas are prime farmland,Cygnet,1,NA,74
"Allen County, Ohio",HrB,"Houcktown loam, 2 to 6 percent slopes",2954,All areas are prime farmland,Houcktown,2,e,74
"Allen County, Ohio",Gwg5B2,"Glynwood clay loam, ground moraine, 2 to 6 percent slopes, eroded",2759,All areas are prime farmland,Glynwood,2,e,65
"Allen County, Ohio",KnA,"Knoxdale silt loam, 0 to 2 percent slopes, occasionally flooded",2750,All areas are prime farmland,Knoxdale,2,w,78
"Allen County, Ohio",SkA,"Shoals silt loam, till substratum, 0 to 1 percent slopes, occasionally flooded",2748,Prime farmland if drained,Shoals,2,w,76
"Allen County, Ohio",Gwd5C2,"Glynwood clay loam, 6 to 12 percent slopes, eroded",2458,Not prime farmland,Glynwood,4,e,61
"Allen County, Ohio",SfB,"Shawtown loam, 2 to 6 percent slopes",2428,All areas are prime farmland,Shawtown,2,e,64
"Allen County, Ohio",Gwg5C2,"Glynwood clay loam, ground moraine, 6 to 12 percent slopes, eroded",2265,Not prime farmland,Glynwood,3,e,61
"Allen County, Ohio",ReA,"Rensselaer loam, till substratum, 0 to 1 percent slopes",2248,Prime farmland if drained,Rensselaer,2,w,100
"Allen County, Ohio",SbA,"Saranac silty clay loam, 0 to 2 percent slopes, frequently flooded",2207,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Saranac,3,w,69
"Allen County, Ohio",HtA,"Hoytville silty clay, 0 to 1 percent slopes",1915,Prime farmland if drained,Hoytville,2,w,81
"Allen County, Ohio",AkA,"Alvada loam, 0 to 1 percent slopes",1607,Prime farmland if drained,Alvada,2,w,92
"Allen County, Ohio",MbA,"Medway silt loam, 0 to 2 percent slopes, occasionally flooded",1605,All areas are prime farmland,Medway,2,w,88
"Allen County, Ohio",WdA,"Westland clay loam, 0 to 1 percent slopes",1384,Prime farmland if drained,Westland,2,w,83
"Allen County, Ohio",GaB,"Gallman loam, 2 to 6 percent slopes",1246,All areas are prime farmland,Gallman,2,e,68
"Allen County, Ohio",HrA,"Houcktown loam, 0 to 2 percent slopes",1110,All areas are prime farmland,Houcktown,1,NA,76
"Allen County, Ohio",GkB,"Glynwood loam, 2 to 6 percent slopes",840,All areas are prime farmland,Glynwood,2,e,70
"Allen County, Ohio",ScA,"Saranac silty clay loam, till substratum, 0 to 1 percent slopes, frequently flooded",834,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Saranac,3,w,69
"Allen County, Ohio",LcD2,"Lybrand silty clay loam, 12 to 20 percent slopes, eroded",800,Not prime farmland,Lybrand,4,e,57
"Allen County, Ohio",TkA,"Thackery loam, sandy substratum, 0 to 2 percent slopes",800,All areas are prime farmland,Thackery,1,NA,71
"Allen County, Ohio",ShA,"Shoals silt loam, 0 to 2 percent slopes, occasionally flooded",749,Prime farmland if drained,Shoals,2,w,76
"Allen County, Ohio",NpA,"Nappanee clay loam, 0 to 2 percent slopes",746,Prime farmland if drained,Nappanee,3,w,70
"Allen County, Ohio",BrA,"Blount-Jenera complex, 0 to 3 percent slopes",738,Prime farmland if drained,Blount,2,w,79
"Allen County, Ohio",BrA,"Blount-Jenera complex, 0 to 3 percent slopes",738,Prime farmland if drained,Jenera,1,NA,79
"Allen County, Ohio",HsA,"Houcktown silt loam, 0 to 2 percent slopes",593,All areas are prime farmland,Houcktown,1,NA,76
"Allen County, Ohio",WeA,"Westland-Rensselaer complex, 0 to 1 percent slopes",583,Prime farmland if drained,Westland,2,w,95
"Allen County, Ohio",WeA,"Westland-Rensselaer complex, 0 to 1 percent slopes",583,Prime farmland if drained,Rensselaer,2,w,95
"Allen County, Ohio",AmA,"Alvada silty clay loam, 0 to 1 percent slopes",580,Prime farmland if drained,Alvada,2,w,91
"Allen County, Ohio",AuA,"Aurand loam, 0 to 3 percent slopes",577,Prime farmland if drained,Aurand,2,w,94
"Allen County, Ohio",HpB,"Houcktown sandy loam, 2 to 4 percent slopes",461,All areas are prime farmland,Houcktown,2,e,73
"Allen County, Ohio",RdA,"Rensselaer loam, 0 to 1 percent slopes",456,Prime farmland if drained,Rensselaer,2,w,100
"Allen County, Ohio",RgA,"Rensselaer silt loam, 0 to 1 percent slopes",417,Prime farmland if drained,Rensselaer,2,w,100
"Allen County, Ohio",HsB,"Houcktown silt loam, 2 to 4 percent slopes",394,All areas are prime farmland,Houcktown,2,e,75
"Allen County, Ohio",HgA,"Harrod silt loam, 0 to 1 percent slopes, frequently flooded",283,Prime farmland if protected from flooding or not frequently flooded during the growing season,Harrod,3,w,78
"Allen County, Ohio",SnA,"Sleeth silt loam, 0 to 2 percent slopes",278,Prime farmland if drained,Sleeth,2,w,74
"Allen County, Ohio",GaA,"Gallman loam, 0 to 2 percent slopes",247,All areas are prime farmland,Gallman,1,NA,71
"Allen County, Ohio",GkA,"Glynwood loam, 0 to 2 percent slopes",229,All areas are prime farmland,Glynwood,1,NA,73
"Allen County, Ohio",FnB,"Fox loam, till plain, 2 to 6 percent slopes",221,All areas are prime farmland,Fox,2,e,68
"Allen County, Ohio",ArB,"Arkport loamy fine sand, 2 to 6 percent slopes",199,All areas are prime farmland,Arkport,2,e,64
"Allen County, Ohio",ThB,"Thackery sandy loam, sandy substratum, 1 to 3 percent slopes",198,All areas are prime farmland,Thackery,1,NA,69
"Allen County, Ohio",TnA,"Tiderishi loam, 0 to 2 percent slopes",188,Prime farmland if drained,Tiderishi,2,w,88
"Allen County, Ohio",AxA,"Aurand silt loam, 0 to 3 percent slopes",170,Prime farmland if drained,Aurand,2,w,94
"Allen County, Ohio",PaA,"Patton silty clay loam, loamy substratum, 0 to 1 percent slopes",170,Prime farmland if drained,Patton,2,w,79
"Allen County, Ohio",SdB,"Seward loamy fine sand, deep phase, 0 to 5 percent slopes",170,All areas are prime farmland,Seward,2,e,61
"Allen County, Ohio",DaA,"Darroch loam, 0 to 2 percent slopes",167,Prime farmland if drained,Darroch,2,w,88
"Allen County, Ohio",GbA,"Gallman silt loam, 0 to 2 percent slopes",161,All areas are prime farmland,Gallman,1,NA,71
"Allen County, Ohio",EmB,"Eldean silt loam, 1 to 4 percent slopes",156,All areas are prime farmland,Eldean,2,e,71
"Allen County, Ohio",MmA,"Millsdale silty clay loam, 0 to 1 percent slopes",146,Prime farmland if drained,Millsdale,3,w,76
"Allen County, Ohio",FdA,"Flatrock silt loam, limestone substratum, 0 to 2 percent slopes, occasionally flooded",134,All areas are prime farmland,Flatrock,2,w,78
"Allen County, Ohio",Gwg1C1,"Glynwood silt loam, ground moraine, 6 to 12 percent slopes",127,Not prime farmland,Glynwood,3,e,65
"Allen County, Ohio",HuC2,"Houcktown-Glynwood complex, 6 to 12 percent slopes, eroded",127,Not prime farmland,Houcktown,3,e,67
"Allen County, Ohio",HuC2,"Houcktown-Glynwood complex, 6 to 12 percent slopes, eroded",127,Not prime farmland,Glynwood,4,e,67
"Allen County, Ohio",GaC,"Gallman loam, 6 to 12 percent slopes",97,Not prime farmland,Gallman,3,e,64
"Allen County, Ohio",SgC2,"Shinrock clay loam, 6 to 12 percent slopes, eroded",70,Not prime farmland,Shinrock,3,e,66
"Allen County, Ohio",HpA,"Houcktown sandy loam, 0 to 2 percent slopes",67,All areas are prime farmland,Houcktown,1,NA,74
"Allen County, Ohio",MnA,"Milton loam, 0 to 2 percent slopes",56,All areas are prime farmland,Milton,2,s,70
"Allen County, Ohio",FpC2,"Fox-Lybrand complex, 6 to 12 percent slopes, eroded",54,Not prime farmland,Lybrand,4,e,59
"Allen County, Ohio",FpC2,"Fox-Lybrand complex, 6 to 12 percent slopes, eroded",54,Not prime farmland,Fox,3,e,59
"Allen County, Ohio",FoA,"Fox silt loam, till plain, 0 to 2 percent slopes",53,All areas are prime farmland,Fox,2,s,71
"Allen County, Ohio",RoA,"Roundhead muck, loamy substratum, 0 to 1 percent slopes",44,Prime farmland if drained,Roundhead,3,w,86
"Allen County, Ohio",Gwd1C1,"Glynwood silt loam, 6 to 12 percent slopes",39,Not prime farmland,Glynwood,3,e,65
"Allen County, Ohio",SoA,"Sloan silty clay loam, 0 to 1 percent slopes, occasionally flooded",9,Prime farmland if drained,Sloan,3,w,79
"Allen County, Ohio",FnD2,"Fox loam, 12 to 18 percent slopes, eroded",7,Not prime farmland,Fox,4,e,54
"Ashland County, Ohio",BnB,"Bennington silt loam, 2 to 6 percent slopes",24385,Prime farmland if drained,Bennington,2,e,66
"Ashland County, Ohio",CaB,"Canfield silt loam, 2 to 6 percent slopes",21009,All areas are prime farmland,Canfield,2,e,73
"Ashland County, Ohio",WsC,"Wooster silt loam, 6 to 12 percent slopes",16487,Farmland of local importance,Wooster,3,e,76
"Ashland County, Ohio",WsB,"Wooster silt loam, 2 to 6 percent slopes",14728,All areas are prime farmland,Wooster,2,e,79
"Ashland County, Ohio",Cen1B1,"Centerburg silt loam, 2 to 6 percent slopes",14045,All areas are prime farmland,Centerburg,2,e,75
"Ashland County, Ohio",BnA,"Bennington silt loam, 0 to 2 percent slopes",11530,Prime farmland if drained,Bennington,2,w,69
"Ashland County, Ohio",Sh,"Shoals silt loam, 0 to 2 percent slopes, occasionally flooded",10654,Prime farmland if drained,Shoals,2,w,76
"Ashland County, Ohio",RsB,"Rittman silt loam, 2 to 6 percent slopes",10466,All areas are prime farmland,Rittman,2,e,67
"Ashland County, Ohio",WsD2,"Wooster silt loam, 12 to 18 percent slopes, eroded",9363,Not prime farmland,Wooster,4,e,66
"Ashland County, Ohio",Cen1B2,"Centerburg silt loam, 2 to 6 percent slopes, eroded",8543,All areas are prime farmland,Centerburg,2,e,72
"Ashland County, Ohio",Lo,Lobdell silt loam,6196,Prime farmland if protected from flooding or not frequently flooded during the growing season,Lobdell,2,w,66
"Ashland County, Ohio",CgB,"Chili loam, 2 to 6 percent slopes",5615,All areas are prime farmland,Chili,2,e,67
"Ashland County, Ohio",RsB2,"Rittman silt loam, 2 to 6 percent slopes, eroded",5476,All areas are prime farmland,Rittman,2,e,61
"Ashland County, Ohio",Cr,"Condit silt loam, 0 to 1 percent slopes",5298,Prime farmland if drained,Condit,3,w,60
"Ashland County, Ohio",WhB,"Wheeling silt loam, 2 to 6 percent slopes",4493,All areas are prime farmland,Wheeling,2,e,72
"Ashland County, Ohio",MaB,"Mahoning silt loam, 2 to 6 percent slopes",3332,Prime farmland if drained,Mahoning,3,e,62
"Ashland County, Ohio",Cen1C2,"Centerburg silt loam, 6 to 12 percent slopes, eroded",3227,Farmland of local importance,Centerburg,2,e,68
"Ashland County, Ohio",WaB,"Wadsworth silt loam, 2 to 6 percent slopes",3020,Prime farmland if drained,Wadsworth,3,e,60
"Ashland County, Ohio",LtD,"Lordstown silt loam, 12 to 18 percent slopes",2893,Not prime farmland,Lordstown,4,e,59
"Ashland County, Ohio",ChC,"Chili-Wooster complex, 6 to 12 percent slopes",2889,Farmland of local importance,Wooster,3,e,65
"Ashland County, Ohio",ChC,"Chili-Wooster complex, 6 to 12 percent slopes",2889,Farmland of local importance,Chili,3,e,65
"Ashland County, Ohio",CgC,"Chili loam, 6 to 12 percent slopes",2761,Farmland of local importance,Chili,3,e,61
"Ashland County, Ohio",Cen1C1,"Centerburg silt loam, 6 to 12 percent slopes",2630,Farmland of local importance,Centerburg,3,e,72
"Ashland County, Ohio",WaA,"Wadsworth silt loam, 0 to 2 percent slopes",2602,Prime farmland if drained,Wadsworth,3,w,62
"Ashland County, Ohio",LvD,"Loudonville silt loam, 12 to 18 percent slopes",2534,Not prime farmland,Loudonville,4,e,55
"Ashland County, Ohio",RsC2,"Rittman silt loam, 6 to 12 percent slopes, eroded",2493,Farmland of local importance,Rittman,3,e,55
"Ashland County, Ohio",RnB,"Ravenna silt loam, 2 to 6 percent slopes",2452,Prime farmland if drained,Ravenna,2,e,60
"Ashland County, Ohio",CkD,"Chili and Conotton gravelly loams, 12 to 18 percent slopes",2447,Not prime farmland,Conotton,6,e,51
"Ashland County, Ohio",CkD,"Chili and Conotton gravelly loams, 12 to 18 percent slopes",2447,Not prime farmland,Chili,4,e,51
"Ashland County, Ohio",ElB2,"Ellsworth silt loam, 2 to 6 percent slopes, eroded",2332,All areas are prime farmland,Ellsworth,3,e,63
"Ashland County, Ohio",FcA,"Fitchville silt loam, 1 to 4 percent slopes",2327,Prime farmland if drained,Fitchville,2,w,69
"Ashland County, Ohio",LtC,"Lordstown silt loam, 6 to 12 percent slopes",2317,Not prime farmland,Lordstown,3,e,61
"Ashland County, Ohio",LtE,"Lordstown silt loam, 18 to 25 percent slopes",2264,Not prime farmland,Lordstown,6,e,50
"Ashland County, Ohio",BvB,"Bogart silt loam, 2 to 6 percent slopes",2118,All areas are prime farmland,Bogart,2,e,71
"Ashland County, Ohio",Ho,Holly silt loam,2099,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Holly,3,w,58
"Ashland County, Ohio",ChD,"Chili-Wooster complex, 12 to 18 percent slopes",2087,Not prime farmland,Chili,4,e,57
"Ashland County, Ohio",ChD,"Chili-Wooster complex, 12 to 18 percent slopes",2087,Not prime farmland,Wooster,4,e,57
"Ashland County, Ohio",Ly,"Luray silty clay loam, 0 to 2 percent slopes",1837,Prime farmland if drained,Luray,2,w,78
"Ashland County, Ohio",RnA,"Ravenna silt loam, 0 to 2 percent slopes",1742,Prime farmland if drained,Ravenna,2,w,62
"Ashland County, Ohio",LvC,"Loudonville silt loam, 6 to 12 percent slopes",1729,Farmland of local importance,Loudonville,3,e,65
"Ashland County, Ohio",Kb,Killbuck silt loam,1608,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Killbuck,3,w,63
"Ashland County, Ohio",CaC,"Canfield silt loam, 6 to 12 percent slopes",1467,Farmland of local importance,Canfield,3,e,67
"Ashland County, Ohio",JwA,"Jimtown silt loam, 0 to 2 percent slopes",1386,Prime farmland if drained,Jimtown,2,w,67
"Ashland County, Ohio",AdD2,"Alexandria silt loam, 12 to 18 percent slopes, eroded",1272,Not prime farmland,Alexandria,4,e,61
"Ashland County, Ohio",GfB,"Glenford silt loam, 2 to 6 percent slopes",1266,All areas are prime farmland,Glenford,2,e,78
"Ashland County, Ohio",BtB,"Bogart gravelly loam, 2 to 6 percent slopes",1233,All areas are prime farmland,Bogart,2,e,69
"Ashland County, Ohio",Sg,"Sebring silt loam, 0 to 2 percent slopes",1130,Prime farmland if drained,Sebring,3,w,58
"Ashland County, Ohio",Ag,Algiers silt loam,1122,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Algiers,2,w,65
"Ashland County, Ohio",LvE,"Loudonville silt loam, 18 to 25 percent slopes",1113,Not prime farmland,Loudonville,6,e,47
"Ashland County, Ohio",CaC2,"Canfield silt loam, 6 to 12 percent slopes, eroded",1107,Farmland of local importance,Canfield,3,e,63
"Ashland County, Ohio",LzB,"Lykens silt loam, 2 to 6 percent slopes",1018,All areas are prime farmland,Lykens,2,e,74
"Ashland County, Ohio",Sn,"Sloan silty clay loam, 0 to 1 percent slopes, frequently flooded",941,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,Sloan,3,w,78
"Ashland County, Ohio",MaB2,"Mahoning silt loam, 2 to 6 percent slopes, eroded",905,Prime farmland if drained,Mahoning,3,e,60
"Ashland County, Ohio",RsC,"Rittman silt loam, 6 to 12 percent slopes",888,Farmland of local importance,Rittman,3,e,58
"Ashland County, Ohio",WhC,"Wheeling silt loam, 6 to 12 percent slopes",870,Farmland of local importance,Wheeling,3,e,69
"Ashland County, Ohio",MaA,"Mahoning silt loam, 0 to 2 percent slopes",855,Prime farmland if drained,Mahoning,3,w,63
"Ashland County, Ohio",BvA,"Bogart silt loam, 0 to 2 percent slopes",844,All areas are prime farmland,Bogart,1,NA,74
"Ashland County, Ohio",ToA,"Tiro silt loam, 2 to 6 percent slopes",828,Prime farmland if drained,Tiro,2,e,74
"Ashland County, Ohio",WhA,"Wheeling silt loam, 0 to 2 percent slopes",821,All areas are prime farmland,Wheeling,1,NA,75
"Ashland County, Ohio",CtD,"Conotton Variant gravelly loam, 10 to 20 percent slopes",819,Not prime farmland,Conotton Variant,6,e,48
"Ashland County, Ohio",ChE,"Chili-Wooster complex, 18 to 25 percent slopes",781,Not prime farmland,Chili,6,e,54
"Ashland County, Ohio",ChE,"Chili-Wooster complex, 18 to 25 percent slopes",781,Not prime farmland,Wooster,6,e,54
"Ashland County, Ohio",Pc,"Pewamo silty clay loam, low carbonate till, 0 to 2 percent slopes",717,Prime farmland if drained,Pewamo,2,w,84
"Ashland County, Ohio",ElC2,"Ellsworth silt loam, 6 to 12 percent slopes, eroded",675,Not prime farmland,Ellsworth,4,e,56
"Ashland County, Ohio",LtB,"Lordstown silt loam, 2 to 6 percent slopes",671,All areas are prime farmland,Lordstown,2,e,64
"Ashland County, Ohio",JwB,"Jimtown silt loam, 2 to 6 percent slopes",632,Prime farmland if drained,Jimtown,2,e,65
"Ashland County, Ohio",OtB,"Oshtemo sandy loam, 2 to 6 percent slopes",617,All areas are prime farmland,Oshtemo,3,s,63
"Ashland County, Ohio",Cf,Carlisle muck,607,Farmland of local importance,Carlisle,3,w,68
"Ashland County, Ohio",LvB,"Loudonville silt loam, 2 to 6 percent slopes",603,All areas are prime farmland,Loudonville,2,e,71
"Ashland County, Ohio",RsD2,"Rittman silt loam, 12 to 18 percent slopes, eroded",590,Not prime farmland,Rittman,4,e,49
"Ashland County, Ohio",BtA,"Bogart gravelly loam, 0 to 2 percent slopes",563,All areas are prime farmland,Bogart,2,s,72
