areaname,musym,muname,muacres,farmlndcl,PI
"Adams County, Ohio",TsF,"Trappist-Shelocta association, steep",56,Not prime farmland,NA
"Adams County, Ohio",RoC2,"Rossmoyne silt loam, 6 to 12 percent slopes, eroded",55,Not prime farmland,66
"Adams County, Ohio",EaE,"Eden flaggy silt loam, 25 to 40 percent slopes",52,Not prime farmland,NA
"Adams County, Ohio",SkE,"Shelocta-Brownsville association, steep",37,Not prime farmland,NA
"Adams County, Ohio",OtB,"Otwell silt loam, 2 to 6 percent slopes",16,All areas are prime farmland,64
"Adams County, Ohio",SbB,"Sardinia silt loam, 2 to 6 percent slopes",6,All areas are prime farmland,69
"Adams County, Ohio",SdB,"Sciotoville silt loam, 1 to 8 percent slopes",6,All areas are prime farmland,75
"Adams County, Ohio",OxD3,"Opequon clay, 6 to 18 percent slopes, severely eroded",1,Not prime farmland,33
"Allen County, Ohio",PmA,"Pewamo silty clay loam, 0 to 1 percent slopes",65042,Prime farmland if drained,84
"Allen County, Ohio",Blg1B1,"Blount silt loam, ground moraine, 2 to 4 percent slopes",37735,Prime farmland if drained,75
"Allen County, Ohio",Blg1A1,"Blount silt loam, ground moraine, 0 to 2 percent slopes",31396,Prime farmland if drained,78
"Allen County, Ohio",Ble1B1,"Blount silt loam, end moraine, 2 to 4 percent slopes",29160,Prime farmland if drained,75
"Allen County, Ohio",Gwg1B1,"Glynwood silt loam, ground moraine, 2 to 6 percent slopes",6258,All areas are prime farmland,70
"Allen County, Ohio",HcA,"Hoytville silty clay loam, 0 to 1 percent slopes",6143,Prime farmland if drained,83
"Allen County, Ohio",GuB,"Glynwood-Urban land complex, 2 to 6 percent slopes",6058,Not prime farmland,NA
"Allen County, Ohio",Gwe1B1,"Glynwood silt loam, end moraine, 2 to 6 percent slopes",5924,All areas are prime farmland,70
"Allen County, Ohio",Ble1A1,"Blount silt loam, end moraine, 0 to 2 percent slopes",5902,Prime farmland if drained,78
"Allen County, Ohio",SrA,"Sloan silty clay loam, till substratum, 0 to 1 percent slopes, frequently flooded",4409,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,78
"Allen County, Ohio",Gwe5B2,"Glynwood clay loam, end moraine, 2 to 6 percent slopes, eroded",3452,All areas are prime farmland,65
"Allen County, Ohio",CyA,"Cygnet loam, 0 to 3 percent slopes",3284,All areas are prime farmland,74
"Allen County, Ohio",HrB,"Houcktown loam, 2 to 6 percent slopes",2954,All areas are prime farmland,74
"Allen County, Ohio",Gwg5B2,"Glynwood clay loam, ground moraine, 2 to 6 percent slopes, eroded",2759,All areas are prime farmland,65
"Allen County, Ohio",KnA,"Knoxdale silt loam, 0 to 2 percent slopes, occasionally flooded",2750,All areas are prime farmland,78
"Allen County, Ohio",SkA,"Shoals silt loam, till substratum, 0 to 1 percent slopes, occasionally flooded",2748,Prime farmland if drained,76
"Allen County, Ohio",W,Water,2470,Not prime farmland,NA
"Allen County, Ohio",Gwd5C2,"Glynwood clay loam, 6 to 12 percent slopes, eroded",2458,Not prime farmland,61
"Allen County, Ohio",SfB,"Shawtown loam, 2 to 6 percent slopes",2428,All areas are prime farmland,64
"Allen County, Ohio",Gwg5C2,"Glynwood clay loam, ground moraine, 6 to 12 percent slopes, eroded",2265,Not prime farmland,61
"Allen County, Ohio",ReA,"Rensselaer loam, till substratum, 0 to 1 percent slopes",2248,Prime farmland if drained,100
"Allen County, Ohio",BsA,"Blount-Urban land complex, 0 to 2 percent slopes",2213,Not prime farmland,NA
"Allen County, Ohio",SbA,"Saranac silty clay loam, 0 to 2 percent slopes, frequently flooded",2207,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,69
"Allen County, Ohio",UrB,"Urban land, undulating",2151,Not prime farmland,NA
"Allen County, Ohio",HtA,"Hoytville silty clay, 0 to 1 percent slopes",1915,Prime farmland if drained,81
"Allen County, Ohio",AkA,"Alvada loam, 0 to 1 percent slopes",1607,Prime farmland if drained,92
"Allen County, Ohio",MbA,"Medway silt loam, 0 to 2 percent slopes, occasionally flooded",1605,All areas are prime farmland,88
"Allen County, Ohio",WdA,"Westland clay loam, 0 to 1 percent slopes",1384,Prime farmland if drained,83
"Allen County, Ohio",GaB,"Gallman loam, 2 to 6 percent slopes",1246,All areas are prime farmland,68
"Allen County, Ohio",HrA,"Houcktown loam, 0 to 2 percent slopes",1110,All areas are prime farmland,76
"Allen County, Ohio",PoA,"Pewamo-Urban land complex, 0 to 2 percent slopes",1002,Not prime farmland,NA
"Allen County, Ohio",UdD,"Udorthents, loamy, 12 to 25 percent slopes",863,Not prime farmland,NA
"Allen County, Ohio",GkB,"Glynwood loam, 2 to 6 percent slopes",840,All areas are prime farmland,70
"Allen County, Ohio",ScA,"Saranac silty clay loam, till substratum, 0 to 1 percent slopes, frequently flooded",834,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,69
"Allen County, Ohio",LcD2,"Lybrand silty clay loam, 12 to 20 percent slopes, eroded",800,Not prime farmland,57
"Allen County, Ohio",TkA,"Thackery loam, sandy substratum, 0 to 2 percent slopes",800,All areas are prime farmland,71
"Allen County, Ohio",ShA,"Shoals silt loam, 0 to 2 percent slopes, occasionally flooded",749,Prime farmland if drained,76
"Allen County, Ohio",NpA,"Nappanee clay loam, 0 to 2 percent slopes",746,Prime farmland if drained,70
"Allen County, Ohio",BrA,"Blount-Jenera complex, 0 to 3 percent slopes",738,Prime farmland if drained,79
"Allen County, Ohio",UdA,"Udorthents, loamy, 0 to 2 percent slopes",690,Not prime farmland,NA
"Allen County, Ohio",LbF,"Lybrand silt loam, 20 to 55 percent slopes",627,Not prime farmland,NA
"Allen County, Ohio",HsA,"Houcktown silt loam, 0 to 2 percent slopes",593,All areas are prime farmland,76
"Allen County, Ohio",WeA,"Westland-Rensselaer complex, 0 to 1 percent slopes",583,Prime farmland if drained,95
"Allen County, Ohio",AmA,"Alvada silty clay loam, 0 to 1 percent slopes",580,Prime farmland if drained,91
"Allen County, Ohio",AuA,"Aurand loam, 0 to 3 percent slopes",577,Prime farmland if drained,94
"Allen County, Ohio",HpB,"Houcktown sandy loam, 2 to 4 percent slopes",461,All areas are prime farmland,73
"Allen County, Ohio",RdA,"Rensselaer loam, 0 to 1 percent slopes",456,Prime farmland if drained,100
"Allen County, Ohio",RgA,"Rensselaer silt loam, 0 to 1 percent slopes",417,Prime farmland if drained,100
"Allen County, Ohio",HsB,"Houcktown silt loam, 2 to 4 percent slopes",394,All areas are prime farmland,75
"Allen County, Ohio",Pt,"Pits, quarry",347,Not prime farmland,NA
"Allen County, Ohio",HgA,"Harrod silt loam, 0 to 1 percent slopes, frequently flooded",283,Prime farmland if protected from flooding or not frequently flooded during the growing season,78
"Allen County, Ohio",SnA,"Sleeth silt loam, 0 to 2 percent slopes",278,Prime farmland if drained,74
"Allen County, Ohio",GaA,"Gallman loam, 0 to 2 percent slopes",247,All areas are prime farmland,71
"Allen County, Ohio",GkA,"Glynwood loam, 0 to 2 percent slopes",229,All areas are prime farmland,73
"Allen County, Ohio",FnB,"Fox loam, till plain, 2 to 6 percent slopes",221,All areas are prime farmland,68
"Allen County, Ohio",ArB,"Arkport loamy fine sand, 2 to 6 percent slopes",199,All areas are prime farmland,64
"Allen County, Ohio",ThB,"Thackery sandy loam, sandy substratum, 1 to 3 percent slopes",198,All areas are prime farmland,69
"Allen County, Ohio",TnA,"Tiderishi loam, 0 to 2 percent slopes",188,Prime farmland if drained,88
"Allen County, Ohio",AxA,"Aurand silt loam, 0 to 3 percent slopes",170,Prime farmland if drained,94
"Allen County, Ohio",PaA,"Patton silty clay loam, loamy substratum, 0 to 1 percent slopes",170,Prime farmland if drained,79
"Allen County, Ohio",SdB,"Seward loamy fine sand, deep phase, 0 to 5 percent slopes",170,All areas are prime farmland,61
"Allen County, Ohio",DaA,"Darroch loam, 0 to 2 percent slopes",167,Prime farmland if drained,88
"Allen County, Ohio",GbA,"Gallman silt loam, 0 to 2 percent slopes",161,All areas are prime farmland,71
"Allen County, Ohio",EmB,"Eldean silt loam, 1 to 4 percent slopes",156,All areas are prime farmland,71
"Allen County, Ohio",MmA,"Millsdale silty clay loam, 0 to 1 percent slopes",146,Prime farmland if drained,76
"Allen County, Ohio",FdA,"Flatrock silt loam, limestone substratum, 0 to 2 percent slopes, occasionally flooded",134,All areas are prime farmland,78
"Allen County, Ohio",Gwg1C1,"Glynwood silt loam, ground moraine, 6 to 12 percent slopes",127,Not prime farmland,65
"Allen County, Ohio",HuC2,"Houcktown-Glynwood complex, 6 to 12 percent slopes, eroded",127,Not prime farmland,67
"Allen County, Ohio",GaC,"Gallman loam, 6 to 12 percent slopes",97,Not prime farmland,64
"Allen County, Ohio",Pp,"Pits, gravel",72,Not prime farmland,NA
"Allen County, Ohio",SgC2,"Shinrock clay loam, 6 to 12 percent slopes, eroded",70,Not prime farmland,66
"Allen County, Ohio",HpA,"Houcktown sandy loam, 0 to 2 percent slopes",67,All areas are prime farmland,74
"Allen County, Ohio",MnA,"Milton loam, 0 to 2 percent slopes",56,All areas are prime farmland,70
"Allen County, Ohio",FpC2,"Fox-Lybrand complex, 6 to 12 percent slopes, eroded",54,Not prime farmland,59
"Allen County, Ohio",FoA,"Fox silt loam, till plain, 0 to 2 percent slopes",53,All areas are prime farmland,71
"Allen County, Ohio",RoA,"Roundhead muck, loamy substratum, 0 to 1 percent slopes",44,Prime farmland if drained,86
"Allen County, Ohio",Gwd1C1,"Glynwood silt loam, 6 to 12 percent slopes",39,Not prime farmland,65
"Allen County, Ohio",Ps,"Pits, lime",23,Not prime farmland,NA
"Allen County, Ohio",SoA,"Sloan silty clay loam, 0 to 1 percent slopes, occasionally flooded",9,Prime farmland if drained,79
"Allen County, Ohio",FnD2,"Fox loam, 12 to 18 percent slopes, eroded",7,Not prime farmland,54
"Ashland County, Ohio",BnB,"Bennington silt loam, 2 to 6 percent slopes",24385,Prime farmland if drained,66
"Ashland County, Ohio",CaB,"Canfield silt loam, 2 to 6 percent slopes",21009,All areas are prime farmland,73
"Ashland County, Ohio",WsC,"Wooster silt loam, 6 to 12 percent slopes",16487,Farmland of local importance,76
"Ashland County, Ohio",WsB,"Wooster silt loam, 2 to 6 percent slopes",14728,All areas are prime farmland,79
"Ashland County, Ohio",Cen1B1,"Centerburg silt loam, 2 to 6 percent slopes",14045,All areas are prime farmland,75
"Ashland County, Ohio",BnA,"Bennington silt loam, 0 to 2 percent slopes",11530,Prime farmland if drained,69
"Ashland County, Ohio",Sh,"Shoals silt loam, 0 to 2 percent slopes, occasionally flooded",10654,Prime farmland if drained,76
"Ashland County, Ohio",RsB,"Rittman silt loam, 2 to 6 percent slopes",10466,All areas are prime farmland,67
"Ashland County, Ohio",WsD2,"Wooster silt loam, 12 to 18 percent slopes, eroded",9363,Not prime farmland,66
"Ashland County, Ohio",Cen1B2,"Centerburg silt loam, 2 to 6 percent slopes, eroded",8543,All areas are prime farmland,72
"Ashland County, Ohio",Lo,Lobdell silt loam,6196,Prime farmland if protected from flooding or not frequently flooded during the growing season,66
"Ashland County, Ohio",CgB,"Chili loam, 2 to 6 percent slopes",5615,All areas are prime farmland,67
"Ashland County, Ohio",RsB2,"Rittman silt loam, 2 to 6 percent slopes, eroded",5476,All areas are prime farmland,61
"Ashland County, Ohio",Cr,"Condit silt loam, 0 to 1 percent slopes",5298,Prime farmland if drained,60
"Ashland County, Ohio",WhB,"Wheeling silt loam, 2 to 6 percent slopes",4493,All areas are prime farmland,72
"Ashland County, Ohio",WsE,"Wooster silt loam, 18 to 35 percent slopes",4115,Not prime farmland,NA
"Ashland County, Ohio",MaB,"Mahoning silt loam, 2 to 6 percent slopes",3332,Prime farmland if drained,62
"Ashland County, Ohio",LtF,"Lordstown silt loam, 25 to 40 percent slopes",3325,Not prime farmland,NA
"Ashland County, Ohio",Cen1C2,"Centerburg silt loam, 6 to 12 percent slopes, eroded",3227,Farmland of local importance,68
"Ashland County, Ohio",WaB,"Wadsworth silt loam, 2 to 6 percent slopes",3020,Prime farmland if drained,60
"Ashland County, Ohio",LtD,"Lordstown silt loam, 12 to 18 percent slopes",2893,Not prime farmland,59
"Ashland County, Ohio",ChC,"Chili-Wooster complex, 6 to 12 percent slopes",2889,Farmland of local importance,65
"Ashland County, Ohio",CgC,"Chili loam, 6 to 12 percent slopes",2761,Farmland of local importance,61
"Ashland County, Ohio",Cen1C1,"Centerburg silt loam, 6 to 12 percent slopes",2630,Farmland of local importance,72
"Ashland County, Ohio",WaA,"Wadsworth silt loam, 0 to 2 percent slopes",2602,Prime farmland if drained,62
"Ashland County, Ohio",LvD,"Loudonville silt loam, 12 to 18 percent slopes",2534,Not prime farmland,55
"Ashland County, Ohio",RsC2,"Rittman silt loam, 6 to 12 percent slopes, eroded",2493,Farmland of local importance,55
"Ashland County, Ohio",RnB,"Ravenna silt loam, 2 to 6 percent slopes",2452,Prime farmland if drained,60
"Ashland County, Ohio",CkD,"Chili and Conotton gravelly loams, 12 to 18 percent slopes",2447,Not prime farmland,51
"Ashland County, Ohio",ElB2,"Ellsworth silt loam, 2 to 6 percent slopes, eroded",2332,All areas are prime farmland,63
"Ashland County, Ohio",FcA,"Fitchville silt loam, 1 to 4 percent slopes",2327,Prime farmland if drained,69
"Ashland County, Ohio",LtC,"Lordstown silt loam, 6 to 12 percent slopes",2317,Not prime farmland,61
"Ashland County, Ohio",LtE,"Lordstown silt loam, 18 to 25 percent slopes",2264,Not prime farmland,50
"Ashland County, Ohio",BvB,"Bogart silt loam, 2 to 6 percent slopes",2118,All areas are prime farmland,71
"Ashland County, Ohio",Ho,Holly silt loam,2099,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,58
"Ashland County, Ohio",ChD,"Chili-Wooster complex, 12 to 18 percent slopes",2087,Not prime farmland,57
"Ashland County, Ohio",BsG,"Berks-Rock outcrop complex, 30 to 60 percent slopes",1952,Not prime farmland,NA
"Ashland County, Ohio",Ud,Udorthents,1936,Not prime farmland,NA
"Ashland County, Ohio",Ly,"Luray silty clay loam, 0 to 2 percent slopes",1837,Prime farmland if drained,78
"Ashland County, Ohio",RnA,"Ravenna silt loam, 0 to 2 percent slopes",1742,Prime farmland if drained,62
"Ashland County, Ohio",LvC,"Loudonville silt loam, 6 to 12 percent slopes",1729,Farmland of local importance,65
"Ashland County, Ohio",Kb,Killbuck silt loam,1608,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,63
"Ashland County, Ohio",CaC,"Canfield silt loam, 6 to 12 percent slopes",1467,Farmland of local importance,67
"Ashland County, Ohio",JwA,"Jimtown silt loam, 0 to 2 percent slopes",1386,Prime farmland if drained,67
"Ashland County, Ohio",AdF,"Alexandria silt loam, 25 to 50 percent slopes",1295,Not prime farmland,NA
"Ashland County, Ohio",AdD2,"Alexandria silt loam, 12 to 18 percent slopes, eroded",1272,Not prime farmland,61
"Ashland County, Ohio",GfB,"Glenford silt loam, 2 to 6 percent slopes",1266,All areas are prime farmland,78
"Ashland County, Ohio",BtB,"Bogart gravelly loam, 2 to 6 percent slopes",1233,All areas are prime farmland,69
"Ashland County, Ohio",Sg,"Sebring silt loam, 0 to 2 percent slopes",1130,Prime farmland if drained,58
"Ashland County, Ohio",Ag,Algiers silt loam,1122,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,65
"Ashland County, Ohio",LvE,"Loudonville silt loam, 18 to 25 percent slopes",1113,Not prime farmland,47
"Ashland County, Ohio",CaC2,"Canfield silt loam, 6 to 12 percent slopes, eroded",1107,Farmland of local importance,63
"Ashland County, Ohio",CkE,"Chili and Conotton gravelly loams, 18 to 35 percent slopes",1096,Not prime farmland,NA
"Ashland County, Ohio",LzB,"Lykens silt loam, 2 to 6 percent slopes",1018,All areas are prime farmland,74
"Ashland County, Ohio",Sn,"Sloan silty clay loam, 0 to 1 percent slopes, frequently flooded",941,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,78
"Ashland County, Ohio",MaB2,"Mahoning silt loam, 2 to 6 percent slopes, eroded",905,Prime farmland if drained,60
"Ashland County, Ohio",RsC,"Rittman silt loam, 6 to 12 percent slopes",888,Farmland of local importance,58
"Ashland County, Ohio",WhC,"Wheeling silt loam, 6 to 12 percent slopes",870,Farmland of local importance,69
"Ashland County, Ohio",MaA,"Mahoning silt loam, 0 to 2 percent slopes",855,Prime farmland if drained,63
"Ashland County, Ohio",BvA,"Bogart silt loam, 0 to 2 percent slopes",844,All areas are prime farmland,74
"Ashland County, Ohio",ToA,"Tiro silt loam, 2 to 6 percent slopes",828,Prime farmland if drained,74
"Ashland County, Ohio",WhA,"Wheeling silt loam, 0 to 2 percent slopes",821,All areas are prime farmland,75
"Ashland County, Ohio",CtD,"Conotton Variant gravelly loam, 10 to 20 percent slopes",819,Not prime farmland,48
"Ashland County, Ohio",ChE,"Chili-Wooster complex, 18 to 25 percent slopes",781,Not prime farmland,54
"Ashland County, Ohio",Pc,"Pewamo silty clay loam, low carbonate till, 0 to 2 percent slopes",717,Prime farmland if drained,84
"Ashland County, Ohio",W,Water,700,Not prime farmland,NA
"Ashland County, Ohio",ElC2,"Ellsworth silt loam, 6 to 12 percent slopes, eroded",675,Not prime farmland,56
"Ashland County, Ohio",LtB,"Lordstown silt loam, 2 to 6 percent slopes",671,All areas are prime farmland,64
"Ashland County, Ohio",JwB,"Jimtown silt loam, 2 to 6 percent slopes",632,Prime farmland if drained,65
"Ashland County, Ohio",OtB,"Oshtemo sandy loam, 2 to 6 percent slopes",617,All areas are prime farmland,63
"Ashland County, Ohio",Cf,Carlisle muck,607,Farmland of local importance,68
"Ashland County, Ohio",LvB,"Loudonville silt loam, 2 to 6 percent slopes",603,All areas are prime farmland,71
"Ashland County, Ohio",RsD2,"Rittman silt loam, 12 to 18 percent slopes, eroded",590,Not prime farmland,49
"Ashland County, Ohio",BtA,"Bogart gravelly loam, 0 to 2 percent slopes",563,All areas are prime farmland,72
"Ashland County, Ohio",GfC,"Glenford silt loam, 6 to 12 percent slopes",540,Farmland of local importance,75
"Ashland County, Ohio",AdE,"Alexandria silt loam, 18 to 25 percent slopes",520,Not prime farmland,59
"Ashland County, Ohio",Or,"Orrville silt loam, occasionally flooded",487,Prime farmland if drained,72
"Ashland County, Ohio",GfA,"Glenford silt loam, 0 to 2 percent slopes",413,All areas are prime farmland,81
"Ashland County, Ohio",WeD,"Westmoreland silt loam, 15 to 25 percent slopes",412,Not prime farmland,58
"Ashland County, Ohio",ScE,"Schaffenaker loamy sand, 10 to 40 percent slopes",400,Not prime farmland,NA
"Ashland County, Ohio",BrD,"Berks channery silt loam, 12 to 18 percent slopes",385,Not prime farmland,45
"Ashland County, Ohio",CvC,"Coshocton loam, 6 to 15 percent slopes",355,Not prime farmland,65
"Ashland County, Ohio",WuB,"Wooster-Riddles silt loams, 2 to 6 percent slopes",342,All areas are prime farmland,83
"Ashland County, Ohio",Pg,"Pits, gravel",303,Not prime farmland,NA
"Ashland County, Ohio",Ln,Linwood muck,293,Farmland of local importance,83
"Ashland County, Ohio",Wb,Wallkill silt loam,289,Farmland of local importance,70
"Ashland County, Ohio",Ur,Urban land,287,Not prime farmland,NA
"Ashland County, Ohio",CeC3,"Cardington silty clay loam, 6 to 12 percent slopes, severely eroded",277,Not prime farmland,50
"Ashland County, Ohio",OtC,"Oshtemo sandy loam, 6 to 12 percent slopes",260,Farmland of local importance,60
"Ashland County, Ohio",ElE2,"Ellsworth silt loam, 12 to 25 percent slopes, eroded",226,Not prime farmland,47
"Ashland County, Ohio",Os,Orrville Variant silt loam,209,Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,61
"Ashland County, Ohio",BzE,"Brownsville-Westmoreland complex, 18 to 25 percent slopes",203,Not prime farmland,52
"Ashland County, Ohio",RrC,"Rigley sandy loam, 6 to 12 percent slopes",180,Not prime farmland,65
"Ashland County, Ohio",CvB,"Coshocton loam, 2 to 6 percent slopes",172,All areas are prime farmland,71
"Ashland County, Ohio",WuD2,"Wooster-Riddles silt loams, 12 to 18 percent slopes, eroded",162,Not prime farmland,67
"Ashland County, Ohio",ByE,"Brownsville channery silt loam, 25 to 35 percent slopes",149,Not prime farmland,NA
"Ashland County, Ohio",WuC,"Wooster-Riddles silt loams, 6 to 12 percent slopes",118,Not prime farmland,77
"Ashland County, Ohio",BxF,"Brownsville-Rock outcrop complex, 35 to 70 percent slopes",115,Not prime farmland,NA
"Ashland County, Ohio",ByD,"Brownsville channery silt loam, 15 to 25 percent slopes",100,Not prime farmland,47
