"year","corn_acres_planted_jun_acreage","corn_acres_planted_mar_acreage","corn_grain_acres_harvest_aug_forecast","corn_grain_acres_harvest_jun_acreage","corn_grain_acres_harvest_nov_forecast","corn_grain_acres_harvest_oct_forecast","corn_grain_acres_harvest_sep_forecast","corn_grain_prod_bu_aug_forecast","corn_grain_prod_bu_nov_forecast","corn_grain_prod_bu_oct_forecast","corn_grain_prod_bu_sep_forecast","corn_grain_yield_aug_forecast","corn_grain_yield_nov_forecast","corn_grain_yield_oct_forecast","corn_grain_yield_sep_forecast","soy_acres_harvest_aug_forecast","soy_acres_harvest_jun_acreage","soy_acres_harvest_nov_forecast","soy_acres_harvest_oct_forecast","soy_acres_harvest_sep_forecast","soy_acres_planted_jun_acreage","soy_acres_planted_mar_acreage","soy_prod_bu_aug_forecast","soy_prod_bu_nov_forecast","soy_prod_bu_oct_forecast","soy_prod_bu_sep_forecast","soy_yield_aug_forecast","soy_yield_nov_forecast","soy_yield_oct_forecast","soy_yield_sep_forecast","wheat_acres_harvest_aug_forecast","wheat_acres_harvest_jul_forecast","wheat_acres_harvest_jun_acreage","wheat_acres_harvest_jun_forecast","wheat_acres_harvest_may_forecast","wheat_acres_planted_dec_acreage","wheat_acres_planted_jun_acreage","wheat_acres_planted_mar_acreage","wheat_prod_bu_aug_forecast","wheat_prod_bu_jul_forecast","wheat_prod_bu_jun_forecast","wheat_prod_bu_may_forecast","wheat_yield_aug_forecast","wheat_yield_jul_forecast","wheat_yield_jun_forecast","wheat_yield_may_forecast","wheat_yield_sep_forecast"
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,123,123,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,39,37,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,53,53,53,59
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,92,90,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,36,36,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,50,54,54,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,137,131,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,39,38,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,51,47,49,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,112,113,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,37,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,54,53,56,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,139,134,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,44,46,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,60,56,54,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,120,122,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,39,41,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,59,59,57,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,114,108,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,34,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,44,50,51,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,134,130,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,45,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,57,54,51,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,144,141,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,44,41,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,64,60,62,64
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,125,124,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,37,37,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,66,62,61,70
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,149,152,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,44,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,72,72,72,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,144,143,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,42,43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,63,65,70,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,96,104,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,32,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,65,66,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,156,154,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,40,41,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,66,68,68,NA
2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,160,160,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,47,46,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,64,67,68,NA
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,143,141,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,44,44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,68,68,66,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,161,161,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,46,46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,68,68,69,NA
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,150,150,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,46,46,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,64,64,64,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,140,147,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,36,38,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,67,67,64,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,166,166,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,48,46,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,68,66,66,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,165,167,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,48,48,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,66,72,72,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,159,154,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,46,46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,64,67,69,NA
2012,NA,3800000,3620000,3660000,3620000,3620000,3620000,456120000,452500000,445260000,456120000,126,125,123,126,4580000,4590000,4580000,4580000,4580000,NA,4550000,192360000,215260000,196940000,183200000,42,47,43,40,525000,525000,525000,NA,530000,NA,NA,580000,35175000,35175000,32330000,33390000,67,67,61,63,NA
2013,NA,3950000,3680000,NA,3630000,NA,3680000,632960000,631620000,NA,632960000,172,174,NA,172,4530000,NA,4430000,NA,4530000,NA,4650000,226500000,217070000,NA,221970000,50,49,NA,49,680000,680000,NA,6e+05,6e+05,NA,NA,630000,46240000,45560000,39600000,38400000,68,67,66,64,NA
2014,NA,3700000,3480000,3480000,3480000,3480000,3480000,615960000,615960000,619440000,622920000,177,177,178,179,4940000,4940000,4890000,4890000,4940000,NA,4700000,242060000,244500000,244500000,2.47e+08,49,50,50,50,570000,570000,570000,NA,580000,NA,NA,630000,42180000,38760000,38860000,38280000,74,68,67,66,NA
2015,NA,3500000,3260000,3260000,3260000,3260000,3260000,547680000,531380000,537900000,531380000,168,163,165,163,4990000,4990000,4790000,4790000,4990000,NA,5100000,239520000,239500000,239500000,239520000,48,50,50,48,5e+05,5e+05,5e+05,NA,530000,540000,NA,550000,32500000,3.5e+07,38690000,37100000,65,70,73,70,NA
2016,NA,3550000,3290000,3290000,3290000,3290000,3290000,536270000,539560000,526400000,532980000,163,164,160,162,4790000,4790000,4840000,4840000,4790000,NA,4650000,249080000,266200000,256520000,253870000,52,55,53,53,550000,550000,550000,NA,550000,590000,NA,6e+05,42350000,41800000,41250000,40700000,77,76,75,74,NA
2017,NA,3550000,3230000,3230000,3130000,3130000,3230000,552330000,541490000,541490000,558790000,171,173,173,173,4990000,4990000,5040000,5040000,4990000,NA,5e+06,264470000,257040000,262080000,269460000,53,51,52,54,420000,420000,420000,NA,430000,490000,NA,470000,32340000,31500000,32680000,33540000,77,75,76,78,NA
2018,3550000,3450000,3310000,3310000,NA,NA,NA,595800000,NA,NA,NA,180,NA,NA,NA,4940000,4940000,NA,NA,NA,4950000,4850000,276640000,NA,NA,NA,56,NA,NA,NA,450000,450000,450000,470000,470000,530000,490000,490000,33750000,35550000,37130000,36190000,75,79,79,77,NA
