soil_series,texture,slope,erosion,drainage,prod_index,cropland,woodland,year,indx,id
AARON,SIL,8-15,S,MW,66,430,120,2010,indx_69,AARONSIL8-15SMW
AARON,SIL,8-15,S,MW,66,680,200,2011,indx_69,AARONSIL8-15SMW
AARON,SIL,8-15,S,MW,66,610,230,2012,indx_69,AARONSIL8-15SMW
AARON,SIL,8-15,S,MW,66,1250,750,2013,indx_69,AARONSIL8-15SMW
AARON,SIL,8-15,S,MW,66,1820,1320,2014,indx_69,AARONSIL8-15SMW
AARON,SIL,8-15,S,MW,66,1450,450,2015,indx_69,AARONSIL8-15SMW
AARON,SIL,8-15,S,MW,66,1280,280,2016,indx_69,AARONSIL8-15SMW
AARON,SIL,8-15,S,MW,66,1115,255,2017,indx_69,AARONSIL8-15SMW
"AARON-GILPIN,C",,6-12,M,W,62,390,100,2009,indx_69,"AARON-GILPIN,C6-12MW"
"AARON-GILPIN,C",,6-12,M,W,62,270,120,2010,indx_69,"AARON-GILPIN,C6-12MW"
"AARON-GILPIN,C",,6-12,M,W,62,440,200,2011,indx_69,"AARON-GILPIN,C6-12MW"
"AARON-GILPIN,C",,6-12,M,W,62,410,230,2012,indx_69,"AARON-GILPIN,C6-12MW"
"AARON-GILPIN,C",,6-12,M,W,62,910,410,2013,indx_69,"AARON-GILPIN,C6-12MW"
"AARON-GILPIN,C",,6-12,M,W,62,1410,910,2014,indx_69,"AARON-GILPIN,C6-12MW"
"AARON-GILPIN,C",,6-12,M,W,62,1030,230,2015,indx_69,"AARON-GILPIN,C6-12MW"
"AARON-GILPIN,C",,6-12,M,W,62,840,230,2016,indx_69,"AARON-GILPIN,C6-12MW"
"AARON-GILPIN,C",,6-12,M,W,62,720,230,2017,indx_69,"AARON-GILPIN,C6-12MW"
"AARON-GILPIN,C",,8-15,S,W,65,560,100,2009,indx_69,"AARON-GILPIN,C8-15SW"
"AARON-GILPIN,C",,8-15,S,W,65,320,120,2010,indx_69,"AARON-GILPIN,C8-15SW"
"AARON-GILPIN,C",,8-15,S,W,65,500,200,2011,indx_69,"AARON-GILPIN,C8-15SW"
"AARON-GILPIN,C",,8-15,S,W,65,470,230,2012,indx_69,"AARON-GILPIN,C8-15SW"
"AARON-GILPIN,C",,8-15,S,W,65,990,490,2013,indx_69,"AARON-GILPIN,C8-15SW"
"AARON-GILPIN,C",,8-15,S,W,65,1510,1010,2014,indx_69,"AARON-GILPIN,C8-15SW"
"AARON-GILPIN,C",,8-15,S,W,65,1130,230,2015,indx_69,"AARON-GILPIN,C8-15SW"
"AARON-GILPIN,C",,8-15,S,W,65,950,230,2016,indx_69,"AARON-GILPIN,C8-15SW"
"AARON-GILPIN,C",,8-15,S,W,65,815,230,2017,indx_69,"AARON-GILPIN,C8-15SW"
"AARON-UPSHUR,C",,2-6,S,W,64,400,100,2009,indx_69,"AARON-UPSHUR,C2-6SW"
"AARON-UPSHUR,C",,2-6,S,W,64,310,120,2010,indx_69,"AARON-UPSHUR,C2-6SW"
"AARON-UPSHUR,C",,2-6,S,W,64,490,200,2011,indx_69,"AARON-UPSHUR,C2-6SW"
"AARON-UPSHUR,C",,2-6,S,W,64,420,230,2012,indx_69,"AARON-UPSHUR,C2-6SW"
"AARON-UPSHUR,C",,2-6,S,W,64,1030,530,2013,indx_69,"AARON-UPSHUR,C2-6SW"
"AARON-UPSHUR,C",,2-6,S,W,64,1530,1030,2014,indx_69,"AARON-UPSHUR,C2-6SW"
"AARON-UPSHUR,C",,2-6,S,W,64,1080,230,2015,indx_69,"AARON-UPSHUR,C2-6SW"
"AARON-UPSHUR,C",,2-6,S,W,64,980,230,2016,indx_69,"AARON-UPSHUR,C2-6SW"
"AARON-UPSHUR,C",,2-6,S,W,64,810,230,2017,indx_69,"AARON-UPSHUR,C2-6SW"
"AARON-UPSHUR,C",,2-8,S,W,64,390,100,2009,indx_69,"AARON-UPSHUR,C2-8SW"
"AARON-UPSHUR,C",,2-8,S,W,64,300,120,2010,indx_69,"AARON-UPSHUR,C2-8SW"
"AARON-UPSHUR,C",,2-8,S,W,64,470,200,2011,indx_69,"AARON-UPSHUR,C2-8SW"
"AARON-UPSHUR,C",,2-8,S,W,64,410,230,2012,indx_69,"AARON-UPSHUR,C2-8SW"
"AARON-UPSHUR,C",,2-8,S,W,64,1e3,500,2013,indx_69,"AARON-UPSHUR,C2-8SW"
"AARON-UPSHUR,C",,2-8,S,W,64,1510,1010,2014,indx_69,"AARON-UPSHUR,C2-8SW"
"AARON-UPSHUR,C",,2-8,S,W,64,1060,230,2015,indx_69,"AARON-UPSHUR,C2-8SW"
"AARON-UPSHUR,C",,2-8,S,W,64,940,230,2016,indx_69,"AARON-UPSHUR,C2-8SW"
"AARON-UPSHUR,C",,2-8,S,W,64,775,230,2017,indx_69,"AARON-UPSHUR,C2-8SW"
"AARON-UPSHUR,C",,8-15,M,W,59,260,100,2009,indx_59,"AARON-UPSHUR,C8-15MW"
"AARON-UPSHUR,C",,8-15,M,W,59,200,120,2010,indx_59,"AARON-UPSHUR,C8-15MW"
"AARON-UPSHUR,C",,8-15,M,W,59,300,200,2011,indx_59,"AARON-UPSHUR,C8-15MW"
"AARON-UPSHUR,C",,8-15,M,W,59,350,230,2012,indx_59,"AARON-UPSHUR,C8-15MW"
"AARON-UPSHUR,C",,8-15,M,W,59,630,230,2013,indx_59,"AARON-UPSHUR,C8-15MW"
"AARON-UPSHUR,C",,8-15,M,W,59,1050,550,2014,indx_59,"AARON-UPSHUR,C8-15MW"
"AARON-UPSHUR,C",,8-15,M,W,59,590,230,2015,indx_59,"AARON-UPSHUR,C8-15MW"
"AARON-UPSHUR,C",,8-15,M,W,59,390,230,2016,indx_59,"AARON-UPSHUR,C8-15MW"
"AARON-UPSHUR,C",,8-15,M,W,59,370,230,2017,indx_59,"AARON-UPSHUR,C8-15MW"
"ABSCOTA,V.",S,0-2,S,W,52,200,100,2009,indx_59,"ABSCOTA,V.S0-2SW"
"ABSCOTA,V.",S,0-2,S,W,52,200,120,2010,indx_59,"ABSCOTA,V.S0-2SW"
"ABSCOTA,V.",S,0-2,S,W,52,300,200,2011,indx_59,"ABSCOTA,V.S0-2SW"
"ABSCOTA,V.",S,0-2,S,W,52,350,230,2012,indx_59,"ABSCOTA,V.S0-2SW"
"ABSCOTA,V.",S,0-2,S,W,52,350,230,2013,indx_59,"ABSCOTA,V.S0-2SW"
"ABSCOTA,V.",S,0-2,S,W,52,350,230,2014,indx_59,"ABSCOTA,V.S0-2SW"
"ABSCOTA,V.",S,0-2,S,W,52,350,230,2015,indx_59,"ABSCOTA,V.S0-2SW"
"ABSCOTA,V.",S,0-2,S,W,52,350,230,2016,indx_59,"ABSCOTA,V.S0-2SW"
"ABSCOTA,V.",S,0-2,S,W,52,350,230,2017,indx_59,"ABSCOTA,V.S0-2SW"
ADRIAN,MUCK,0-1,S,VP,66,180,100,2009,indx_69,ADRIANMUCK0-1SVP
ADRIAN,MUCK,0-1,S,VP,66,380,120,2010,indx_69,ADRIANMUCK0-1SVP
ADRIAN,MUCK,0-1,S,VP,66,600,200,2011,indx_69,ADRIANMUCK0-1SVP
ADRIAN,MUCK,0-1,S,VP,66,530,230,2012,indx_69,ADRIANMUCK0-1SVP
ADRIAN,MUCK,0-1,S,VP,66,1250,250,2013,indx_69,ADRIANMUCK0-1SVP
ADRIAN,MUCK,0-1,S,VP,66,1840,840,2014,indx_69,ADRIANMUCK0-1SVP
ADRIAN,MUCK,0-1,S,VP,66,1260,230,2015,indx_69,ADRIANMUCK0-1SVP
ADRIAN,MUCK,0-1,S,VP,66,1160,230,2016,indx_69,ADRIANMUCK0-1SVP
ADRIAN,MUCK,0-1,S,VP,66,965,230,2017,indx_69,ADRIANMUCK0-1SVP
ADRIAN,MUCK,0-2,S,VP,66,180,100,2009,indx_69,ADRIANMUCK0-2SVP
ADRIAN,MUCK,0-2,S,VP,66,380,120,2010,indx_69,ADRIANMUCK0-2SVP
ADRIAN,MUCK,0-2,S,VP,66,600,200,2011,indx_69,ADRIANMUCK0-2SVP
ADRIAN,MUCK,0-2,S,VP,66,530,230,2012,indx_69,ADRIANMUCK0-2SVP
ADRIAN,MUCK,0-2,S,VP,66,1250,250,2013,indx_69,ADRIANMUCK0-2SVP
ADRIAN,MUCK,0-2,S,VP,66,1840,840,2014,indx_69,ADRIANMUCK0-2SVP
ADRIAN,MUCK,0-2,S,VP,66,1260,230,2015,indx_69,ADRIANMUCK0-2SVP
ADRIAN,MUCK,0-2,S,VP,66,1160,230,2016,indx_69,ADRIANMUCK0-2SVP
ADRIAN,MUCK,0-2,S,VP,66,965,230,2017,indx_69,ADRIANMUCK0-2SVP
"ADRIAN,DRAINED",MUCK,0-2,S,VP,66,180,100,2009,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP"
"ADRIAN,DRAINED",MUCK,0-2,S,VP,66,380,120,2010,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP"
"ADRIAN,DRAINED",MUCK,0-2,S,VP,66,600,200,2011,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP"
"ADRIAN,DRAINED",MUCK,0-2,S,VP,66,530,230,2012,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP"
"ADRIAN,DRAINED",MUCK,0-2,S,VP,66,1250,250,2013,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP"
"ADRIAN,DRAINED",MUCK,0-2,S,VP,66,1840,840,2014,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP"
"ADRIAN,DRAINED",MUCK,0-2,S,VP,66,1260,230,2015,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP"
"ADRIAN,DRAINED",MUCK,0-2,S,VP,66,1160,230,2016,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP"
"ADRIAN,DRAINED",MUCK,0-2,S,VP,66,965,230,2017,indx_69,"ADRIAN,DRAINEDMUCK0-2SVP"
"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,0,170,100,2009,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP"
"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,0,200,120,2010,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP"
"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,0,300,200,2011,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP"
"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,0,350,230,2012,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP"
"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,0,350,230,2013,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP"
"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,0,350,230,2014,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP"
"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,0,350,230,2015,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP"
"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,0,350,230,2016,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP"
"ADRIAN,UNDRAINED",MUCK,0-2,S,VP,0,350,230,2017,indx_49,"ADRIAN,UNDRAINEDMUCK0-2SVP"
"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,74,850,100,2009,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP"
"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,74,1080,120,2010,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP"
"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,74,1420,420,2011,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP"
"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,74,1460,460,2012,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP"
"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,74,2410,1410,2013,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP"
"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,74,3280,2280,2014,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP"
"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,74,2900,1130,2015,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP"
"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,74,2870,1100,2016,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP"
"AETNA,FAN,OF-PH",SIL,0-2,S,SWP,74,2495,710,2017,indx_79,"AETNA,FAN,OF-PHSIL0-2SSWP"
"AETNA,OF-PH",SIL,0-2,S,SWP,74,850,100,2009,indx_79,"AETNA,OF-PHSIL0-2SSWP"
"AETNA,OF-PH",SIL,0-2,S,SWP,74,1080,120,2010,indx_79,"AETNA,OF-PHSIL0-2SSWP"
"AETNA,OF-PH",SIL,0-2,S,SWP,74,1420,420,2011,indx_79,"AETNA,OF-PHSIL0-2SSWP"
"AETNA,OF-PH",SIL,0-2,S,SWP,74,1460,460,2012,indx_79,"AETNA,OF-PHSIL0-2SSWP"
"AETNA,OF-PH",SIL,0-2,S,SWP,74,2410,1410,2013,indx_79,"AETNA,OF-PHSIL0-2SSWP"
"AETNA,OF-PH",SIL,0-2,S,SWP,74,3280,2280,2014,indx_79,"AETNA,OF-PHSIL0-2SSWP"
"AETNA,OF-PH",SIL,0-2,S,SWP,74,2900,1130,2015,indx_79,"AETNA,OF-PHSIL0-2SSWP"
"AETNA,OF-PH",SIL,0-2,S,SWP,74,2870,1100,2016,indx_79,"AETNA,OF-PHSIL0-2SSWP"
"AETNA,OF-PH",SIL,0-2,S,SWP,74,2495,710,2017,indx_79,"AETNA,OF-PHSIL0-2SSWP"
ALEXANDRIA,SICL,12-18,M,W,59,250,100,2009,indx_59,ALEXANDRIASICL12-18MW
ALEXANDRIA,SICL,12-18,M,W,59,200,120,2010,indx_59,ALEXANDRIASICL12-18MW
ALEXANDRIA,SICL,12-18,M,W,59,300,200,2011,indx_59,ALEXANDRIASICL12-18MW
ALEXANDRIA,SICL,12-18,M,W,59,350,230,2012,indx_59,ALEXANDRIASICL12-18MW
ALEXANDRIA,SICL,12-18,M,W,59,480,230,2013,indx_59,ALEXANDRIASICL12-18MW
ALEXANDRIA,SICL,12-18,M,W,59,860,360,2014,indx_59,ALEXANDRIASICL12-18MW
ALEXANDRIA,SICL,12-18,M,W,59,380,230,2015,indx_59,ALEXANDRIASICL12-18MW
ALEXANDRIA,SICL,12-18,M,W,59,350,230,2016,indx_59,ALEXANDRIASICL12-18MW
ALEXANDRIA,SICL,12-18,M,W,59,350,230,2017,indx_59,ALEXANDRIASICL12-18MW
ALEXANDRIA,SICL,12-18,SE,W,47,170,100,2009,indx_49,ALEXANDRIASICL12-18SEW
ALEXANDRIA,SICL,12-18,SE,W,47,200,120,2010,indx_49,ALEXANDRIASICL12-18SEW
ALEXANDRIA,SICL,12-18,SE,W,47,300,200,2011,indx_49,ALEXANDRIASICL12-18SEW
ALEXANDRIA,SICL,12-18,SE,W,47,350,230,2012,indx_49,ALEXANDRIASICL12-18SEW
ALEXANDRIA,SICL,12-18,SE,W,47,350,230,2013,indx_49,ALEXANDRIASICL12-18SEW
ALEXANDRIA,SICL,12-18,SE,W,47,350,230,2014,indx_49,ALEXANDRIASICL12-18SEW
ALEXANDRIA,SICL,12-18,SE,W,47,350,230,2015,indx_49,ALEXANDRIASICL12-18SEW
ALEXANDRIA,SICL,12-18,SE,W,47,350,230,2016,indx_49,ALEXANDRIASICL12-18SEW
ALEXANDRIA,SICL,12-18,SE,W,47,350,230,2017,indx_49,ALEXANDRIASICL12-18SEW
ALEXANDRIA,SICL,18-25,SE,W,42,170,100,2009,indx_49,ALEXANDRIASICL18-25SEW
ALEXANDRIA,SICL,18-25,SE,W,42,200,120,2010,indx_49,ALEXANDRIASICL18-25SEW
ALEXANDRIA,SICL,18-25,SE,W,42,300,200,2011,indx_49,ALEXANDRIASICL18-25SEW
ALEXANDRIA,SICL,18-25,SE,W,42,350,230,2012,indx_49,ALEXANDRIASICL18-25SEW
ALEXANDRIA,SICL,18-25,SE,W,42,350,230,2013,indx_49,ALEXANDRIASICL18-25SEW
ALEXANDRIA,SICL,18-25,SE,W,42,350,230,2014,indx_49,ALEXANDRIASICL18-25SEW
ALEXANDRIA,SICL,18-25,SE,W,42,350,230,2015,indx_49,ALEXANDRIASICL18-25SEW
ALEXANDRIA,SICL,18-25,SE,W,42,350,230,2016,indx_49,ALEXANDRIASICL18-25SEW
ALEXANDRIA,SICL,18-25,SE,W,42,350,230,2017,indx_49,ALEXANDRIASICL18-25SEW
ALEXANDRIA,SICL,6-12,SE,W,52,180,100,2009,indx_59,ALEXANDRIASICL6-12SEW
ALEXANDRIA,SICL,6-12,SE,W,52,200,120,2010,indx_59,ALEXANDRIASICL6-12SEW
ALEXANDRIA,SICL,6-12,SE,W,52,300,200,2011,indx_59,ALEXANDRIASICL6-12SEW
ALEXANDRIA,SICL,6-12,SE,W,52,350,230,2012,indx_59,ALEXANDRIASICL6-12SEW
ALEXANDRIA,SICL,6-12,SE,W,52,350,230,2013,indx_59,ALEXANDRIASICL6-12SEW
ALEXANDRIA,SICL,6-12,SE,W,52,350,230,2014,indx_59,ALEXANDRIASICL6-12SEW
ALEXANDRIA,SICL,6-12,SE,W,52,350,230,2015,indx_59,ALEXANDRIASICL6-12SEW
ALEXANDRIA,SICL,6-12,SE,W,52,350,230,2016,indx_59,ALEXANDRIASICL6-12SEW
ALEXANDRIA,SICL,6-12,SE,W,52,350,230,2017,indx_59,ALEXANDRIASICL6-12SEW
ALEXANDRIA,SIL,0-2,S,W,71,490,100,2009,indx_79,ALEXANDRIASIL0-2SW
ALEXANDRIA,SIL,0-2,S,W,71,600,120,2010,indx_79,ALEXANDRIASIL0-2SW
ALEXANDRIA,SIL,0-2,S,W,71,830,330,2011,indx_79,ALEXANDRIASIL0-2SW
ALEXANDRIA,SIL,0-2,S,W,71,840,340,2012,indx_79,ALEXANDRIASIL0-2SW
ALEXANDRIA,SIL,0-2,S,W,71,1590,1090,2013,indx_79,ALEXANDRIASIL0-2SW
ALEXANDRIA,SIL,0-2,S,W,71,2240,1740,2014,indx_79,ALEXANDRIASIL0-2SW
ALEXANDRIA,SIL,0-2,S,W,71,1770,770,2015,indx_79,ALEXANDRIASIL0-2SW
ALEXANDRIA,SIL,0-2,S,W,71,1700,700,2016,indx_79,ALEXANDRIASIL0-2SW
ALEXANDRIA,SIL,0-2,S,W,71,1450,465,2017,indx_79,ALEXANDRIASIL0-2SW
ALEXANDRIA,SIL,12-18,M,W,61,320,100,2009,indx_69,ALEXANDRIASIL12-18MW
ALEXANDRIA,SIL,12-18,M,W,61,200,120,2010,indx_69,ALEXANDRIASIL12-18MW
ALEXANDRIA,SIL,12-18,M,W,61,300,200,2011,indx_69,ALEXANDRIASIL12-18MW
ALEXANDRIA,SIL,12-18,M,W,61,350,230,2012,indx_69,ALEXANDRIASIL12-18MW
ALEXANDRIA,SIL,12-18,M,W,61,600,230,2013,indx_69,ALEXANDRIASIL12-18MW
ALEXANDRIA,SIL,12-18,M,W,61,1020,520,2014,indx_69,ALEXANDRIASIL12-18MW
ALEXANDRIA,SIL,12-18,M,W,61,620,230,2015,indx_69,ALEXANDRIASIL12-18MW
ALEXANDRIA,SIL,12-18,M,W,61,420,230,2016,indx_69,ALEXANDRIASIL12-18MW
ALEXANDRIA,SIL,12-18,M,W,61,385,230,2017,indx_69,ALEXANDRIASIL12-18MW
ALEXANDRIA,SIL,12-18,S,W,64,400,100,2009,indx_69,ALEXANDRIASIL12-18SW
ALEXANDRIA,SIL,12-18,S,W,64,200,120,2010,indx_69,ALEXANDRIASIL12-18SW
