"areaname"|"mukey"|"musym"|"muname"|"mapunit_acres"|"survey_acres"
"Allen County, Ohio"|171890|"GbA"|"Gallman silt loam, 0 to 2 percent slopes"|161|260340
"Allen County, Ohio"|171891|"GkA"|"Glynwood loam, 0 to 2 percent slopes"|229|260340
"Allen County, Ohio"|171814|"GkB"|"Glynwood loam, 2 to 6 percent slopes"|840|260340
"Allen County, Ohio"|171820|"GuB"|"Glynwood-Urban land complex, 2 to 6 percent slopes"|6058|260340
"Allen County, Ohio"|2569643|"Gwd1C1"|"Glynwood silt loam, 6 to 12 percent slopes"|39|260340
"Allen County, Ohio"|2569640|"Gwd5C2"|"Glynwood clay loam, 6 to 12 percent slopes, eroded"|2458|260340
"Allen County, Ohio"|2856664|"Gwe1B1"|"Glynwood silt loam, end moraine, 2 to 6 percent slopes"|5924|260340
"Allen County, Ohio"|2856769|"Gwe5B2"|"Glynwood clay loam, end moraine, 2 to 6 percent slopes, eroded"|3452|260340
"Allen County, Ohio"|2856665|"Gwg1B1"|"Glynwood silt loam, ground moraine, 2 to 6 percent slopes"|6258|260340
"Allen County, Ohio"|2569641|"Gwg1C1"|"Glynwood silt loam, ground moraine, 6 to 12 percent slopes"|127|260340
"Allen County, Ohio"|2856770|"Gwg5B2"|"Glynwood clay loam, ground moraine, 2 to 6 percent slopes, eroded"|2759|260340
"Allen County, Ohio"|2569642|"Gwg5C2"|"Glynwood clay loam, ground moraine, 6 to 12 percent slopes, eroded"|2265|260340
"Allen County, Ohio"|171907|"HcA"|"Hoytville silty clay loam, 0 to 1 percent slopes"|6143|260340
"Allen County, Ohio"|171821|"HgA"|"Harrod silt loam, 0 to 1 percent slopes, frequently flooded"|283|260340
"Allen County, Ohio"|171822|"HpA"|"Houcktown sandy loam, 0 to 2 percent slopes"|67|260340
"Allen County, Ohio"|171823|"HpB"|"Houcktown sandy loam, 2 to 4 percent slopes"|461|260340
"Allen County, Ohio"|171824|"HrA"|"Houcktown loam, 0 to 2 percent slopes"|1110|260340
"Allen County, Ohio"|171903|"HrB"|"Houcktown loam, 2 to 6 percent slopes"|2954|260340
"Allen County, Ohio"|171904|"HsA"|"Houcktown silt loam, 0 to 2 percent slopes"|593|260340
"Allen County, Ohio"|171905|"HsB"|"Houcktown silt loam, 2 to 4 percent slopes"|394|260340
"Allen County, Ohio"|2391376|"HtA"|"Hoytville silty clay, 0 to 1 percent slopes"|1915|260340
"Allen County, Ohio"|171906|"HuC2"|"Houcktown-Glynwood complex, 6 to 12 percent slopes, eroded"|127|260340
"Allen County, Ohio"|171832|"KnA"|"Knoxdale silt loam, 0 to 2 percent slopes, occasionally flooded"|2750|260340
"Allen County, Ohio"|171833|"LbF"|"Lybrand silt loam, 20 to 55 percent slopes"|627|260340
"Allen County, Ohio"|171834|"LcD2"|"Lybrand silty clay loam, 12 to 20 percent slopes, eroded"|800|260340
"Allen County, Ohio"|171835|"MbA"|"Medway silt loam, 0 to 2 percent slopes, occasionally flooded"|1605|260340
"Allen County, Ohio"|171912|"MmA"|"Millsdale silty clay loam, 0 to 1 percent slopes"|146|260340
"Allen County, Ohio"|171837|"MnA"|"Milton loam, 0 to 2 percent slopes"|56|260340
"Allen County, Ohio"|171838|"NpA"|"Nappanee clay loam, 0 to 2 percent slopes"|746|260340
"Allen County, Ohio"|171839|"PaA"|"Patton silty clay loam, loamy substratum, 0 to 1 percent slopes"|170|260340
"Allen County, Ohio"|171840|"PmA"|"Pewamo silty clay loam, 0 to 1 percent slopes"|65042|260340
"Allen County, Ohio"|171842|"PoA"|"Pewamo-Urban land complex, 0 to 2 percent slopes"|1002|260340
"Allen County, Ohio"|171843|"Pp"|"Pits, gravel"|72|260340
"Allen County, Ohio"|171845|"Ps"|"Pits, lime"|23|260340
"Allen County, Ohio"|171846|"Pt"|"Pits, quarry"|347|260340
"Allen County, Ohio"|171847|"RdA"|"Rensselaer loam, 0 to 1 percent slopes"|456|260340
"Allen County, Ohio"|171848|"ReA"|"Rensselaer loam, till substratum, 0 to 1 percent slopes"|2248|260340
"Allen County, Ohio"|171850|"RgA"|"Rensselaer silt loam, 0 to 1 percent slopes"|417|260340
"Allen County, Ohio"|171851|"RoA"|"Roundhead muck, loamy substratum, 0 to 1 percent slopes"|44|260340
"Allen County, Ohio"|171852|"SbA"|"Saranac silty clay loam, 0 to 1 percent slopes, rarely flooded"|2207|260340
"Allen County, Ohio"|171853|"ScA"|"Saranac silty clay loam, till substratum, 0 to 1 percent slopes, frequently flooded"|834|260340
"Allen County, Ohio"|171854|"SdB"|"Seward loamy fine sand, deep phase, 0 to 5 percent slopes"|170|260340
"Allen County, Ohio"|171855|"SfB"|"Shawtown loam, 2 to 6 percent slopes"|2428|260340
"Allen County, Ohio"|171856|"SgC2"|"Shinrock clay loam, 6 to 12 percent slopes, eroded"|70|260340
"Allen County, Ohio"|171857|"ShA"|"Shoals silt loam, 0 to 2 percent slopes, occasionally flooded"|749|260340
"Allen County, Ohio"|171858|"SkA"|"Shoals silt loam, till substratum, 0 to 1 percent slopes, occasionally flooded"|2748|260340
"Allen County, Ohio"|171859|"SnA"|"Sleeth silt loam, 0 to 2 percent slopes"|278|260340
"Allen County, Ohio"|630117|"SoA"|"Sloan silty clay loam, 0 to 1 percent slopes, occasionally flooded"|9|260340
"Allen County, Ohio"|171860|"SrA"|"Sloan silty clay loam, till substratum, 0 to 1 percent slopes, frequently flooded"|4409|260340
"Allen County, Ohio"|171861|"ThB"|"Thackery sandy loam, sandy substratum, 1 to 3 percent slopes"|198|260340
"Allen County, Ohio"|171862|"TkA"|"Thackery loam, sandy substratum, 0 to 2 percent slopes"|800|260340
"Allen County, Ohio"|171863|"TnA"|"Tiderishi loam, 0 to 2 percent slopes"|188|260340
"Allen County, Ohio"|171864|"UdA"|"Udorthents, loamy, 0 to 2 percent slopes"|690|260340
"Allen County, Ohio"|171865|"UdD"|"Udorthents, loamy, 12 to 25 percent slopes"|863|260340
"Allen County, Ohio"|171866|"UrB"|"Urban land, undulating"|2151|260340
"Allen County, Ohio"|171867|"W"|"Water"|2470|260340
"Allen County, Ohio"|171868|"WdA"|"Westland clay loam, 0 to 1 percent slopes"|1384|260340
"Allen County, Ohio"|171869|"WeA"|"Westland-Rensselaer complex, 0 to 1 percent slopes"|583|260340
"Auglaize County, Ohio"|1146249|"Me"|"Milford silty clay loam"|149|257408
"Auglaize County, Ohio"|169675|"Ca"|"Carlisle silty clay loam"|101|257408
"Auglaize County, Ohio"|169676|"Dc"|"Defiance silty clay, frequently flooded"|98|257408
"Auglaize County, Ohio"|169677|"DeA"|"Del Rey silt loam, till substratum, 0 to 3 percent slopes"|3133|257408
"Auglaize County, Ohio"|169678|"DmA"|"Digby loam, 0 to 2 percent slopes"|2102|257408
"Auglaize County, Ohio"|169679|"DmB"|"Digby loam, 2 to 6 percent slopes"|464|257408
"Auglaize County, Ohio"|169680|"DoA"|"Digby variant silt loam, 0 to 2 percent slopes"|1390|257408
"Auglaize County, Ohio"|169681|"EmB"|"Eldean loam, 2 to 6 percent slopes"|2692|257408
"Auglaize County, Ohio"|169682|"EmC"|"Eldean loam, 6 to 12 percent slopes"|843|257408
"Auglaize County, Ohio"|169683|"EnA"|"Eldean silt loam, 0 to 3 percent slopes"|761|257408
"Auglaize County, Ohio"|169684|"GaB"|"Gallman loam, 2 to 6 percent slopes"|645|257408
"Auglaize County, Ohio"|169685|"Gn"|"Genesee silt loam, occasionally flooded"|2890|257408
"Auglaize County, Ohio"|169687|"HkA"|"Haskins loam, 0 to 2 percent slopes"|635|257408
"Auglaize County, Ohio"|169688|"HkB"|"Haskins loam, 2 to 6 percent slopes"|666|257408
"Auglaize County, Ohio"|169689|"La"|"Latty silty clay"|363|257408
"Auglaize County, Ohio"|169690|"McA"|"McGary silt loam, 0 to 4 percent slopes"|706|257408
"Auglaize County, Ohio"|169691|"Mf"|"Milford silty clay"|3221|257408
"Auglaize County, Ohio"|169692|"Mk"|"Millgrove clay loam"|7486|257408
"Auglaize County, Ohio"|169695|"MrD2"|"Morley clay loam, 12 to 18 percent slopes, eroded"|1031|257408
"Auglaize County, Ohio"|169696|"Mu"|"Muskego muck"|212|257408
"Auglaize County, Ohio"|169697|"Po"|"Pewamo silt loam, overwash"|500|257408
"Auglaize County, Ohio"|169699|"Px"|"Pits, gravel"|464|257408
"Auglaize County, Ohio"|169701|"So"|"Sloan silty clay loam, frequently flooded"|1507|257408
"Auglaize County, Ohio"|169702|"Ud"|"Udorthents, loamy, rolling"|1582|257408
"Auglaize County, Ohio"|169703|"W"|"Water"|3777|257408
"Auglaize County, Ohio"|1146246|"MdA"|"McGary silty clay loam, 0 to 2 percent slopes"|8|257408
"Auglaize County, Ohio"|1146238|"GxD3"|"Glynwood clay loam, 12 to 18 percent slopes, severely eroded"|9|257408
"Auglaize County, Ohio"|1146253|"Wa"|"Wallkill silty clay loam"|3|257408
"Auglaize County, Ohio"|1146233|"DdA"|"Del Rey silt loam, 0 to 2 percent slopes"|3|257408
"Auglaize County, Ohio"|1146254|"Wu"|"Westland silty clay loam, clay substratum"|21|257408
"Auglaize County, Ohio"|817826|"CyA"|"Cygnet loam, 0 to 3 percent slopes"|9|257408
"Auglaize County, Ohio"|1146223|"EkB"|"Eldean silt loam, 1 to 4 percent slopes"|5|257408
"Auglaize County, Ohio"|1146240|"GzB"|"Glynwood-Urban land complex, 2 to 6 percent slopes"|103|257408
"Auglaize County, Ohio"|817830|"Kn"|"Knoxdale silt loam, 0 to 2 percent slopes, occasionally flooded"|5|257408
"Auglaize County, Ohio"|817832|"Sb"|"Saranac silty clay loam, 0 to 1 percent slopes, rarely flooded"|40|257408
"Auglaize County, Ohio"|817833|"Sc"|"Saranac silty clay loam, till substratum, 0 to 1 percent slopes, frequently flooded"|31|257408
"Auglaize County, Ohio"|1146252|"Sk"|"Shoals silt loam, till substratum, 0 to 1 percent slopes, occasionally flooded"|19|257408
"Auglaize County, Ohio"|817834|"Sr"|"Sloan silty clay loam, till substratum, 0 to 1 percent slopes, frequently flooded"|27|257408
"Auglaize County, Ohio"|817835|"ThB"|"Thackery sandy loam, sandy substratum, 1 to 3 percent slopes"|2|257408
"Auglaize County, Ohio"|817836|"TkA"|"Thackery loam, sandy substratum, 0 to 2 percent slopes"|12|257408
"Auglaize County, Ohio"|817837|"Wd"|"Westland clay loam, 0 to 1 percent slopes"|13|257408
"Auglaize County, Ohio"|817829|"HrB"|"Houcktown loam, 2 to 6 percent slopes"|1|257408
"Auglaize County, Ohio"|2569645|"Gwg5C2"|"Glynwood clay loam, ground moraine, 6 to 12 percent slopes, eroded"|3370|257408
"Auglaize County, Ohio"|2518184|"Mny3A"|"Minster silty clay loam, gravelly substratum, 0 to 1 percent slopes"|28|257408
"Auglaize County, Ohio"|2569699|"SaS3AF"|"Saranac-Spencerville silty clay loams, 0 to 1 percent slopes, frequently flooded"|2417|257408
"Auglaize County, Ohio"|2569700|"Slo3AF"|"Sloan silty clay loam, 0 to 1 percent slopes, frequently flooded"|500|257408
"Auglaize County, Ohio"|2569647|"Gwg5C3"|"Glynwood clay loam, 6 to 12 percent slopes, severely eroded"|1|257408
"Auglaize County, Ohio"|2518185|"Sac3AF"|"Saranac silty clay loam, 0 to 1 percent slopes, frequently flooded"|467|257408
"Auglaize County, Ohio"|2569646|"Gwd1C1"|"Glynwood silt loam, 6 to 12 percent slopes"|4|257408
"Auglaize County, Ohio"|2569644|"Gwd5C2"|"Glynwood clay loam, 6 to 12 percent slopes, eroded"|4631|257408
"Auglaize County, Ohio"|2518182|"Mns3A"|"Minster silty clay loam, 0 to 1 percent slopes"|5641|257408
"Auglaize County, Ohio"|2518183|"Mnl3A"|"Minster silty clay loam, till substratum, 0 to 1 percent slopes"|5032|257408
"Auglaize County, Ohio"|2569701|"Sho3AF"|"Shoals silty clay loam, 0 to 1 percent slopes, frequently flooded"|592|257408
"Auglaize County, Ohio"|2764961|"Ble1A1"|"Blount silt loam, end moraine, 0 to 2 percent slopes"|6709|257408
"Auglaize County, Ohio"|169673|"Blg1A1"|"Blount silt loam, ground moraine, 0 to 2 percent slopes"|26115|257408
"Auglaize County, Ohio"|169674|"Blg1B1"|"Blount silt loam, ground moraine, 2 to 4 percent slopes"|52525|257408
"Auglaize County, Ohio"|2764995|"Ble1B1"|"Blount silt loam, end moraine, 2 to 4 percent slopes"|27337|257408
"Auglaize County, Ohio"|2856709|"Gwe1B2"|"Glynwood silt loam, end moraine, 2 to 6 percent slopes, eroded"|26|257408
"Auglaize County, Ohio"|2856710|"Gwg1B2"|"Glynwood silt loam, ground moraine, 2 to 6 percent slopes, eroded"|33|257408
"Auglaize County, Ohio"|2569698|"Sho1AO"|"Shoals silt loam, 0 to 2 percent slopes, occasionally flooded"|2478|257408
"Auglaize County, Ohio"|817831|"Pt"|"Pewamo silty clay loam, 0 to 1 percent slopes"|54020|257408
"Auglaize County, Ohio"|1146232|"Cb"|"Carlisle muck, Central Ohio clayey till plain, drained, 0 to 2 percent slopes"|3|257408
"Auglaize County, Ohio"|2856667|"Gwg1B1"|"Glynwood silt loam, ground moraine, 2 to 6 percent slopes"|13899|257408
"Auglaize County, Ohio"|2856666|"Gwe1B1"|"Glynwood silt loam, end moraine, 2 to 6 percent slopes"|13851|257408
"Brown County, Ohio"|169704|"Ag"|"Algiers silt loam, frequently flooded"|116|315661
"Brown County, Ohio"|1585740|"Ah"|"Algiers silt loam"|16|315661
"Brown County, Ohio"|1585741|"AsB"|"Atlas silt loam, 2 to 6 percent slopes"|3|315661
"Brown County, Ohio"|1585742|"AsB2"|"Atlas silt loam, 2 to 6 percent slopes, moderately eroded"|51|315661
"Brown County, Ohio"|1585743|"AsC2"|"Atlas silt loam, 6 to 12 percent slopes, moderately eroded"|8|315661
"Brown County, Ohio"|169705|"AtC2"|"Atlas silty clay loam, 6 to 12 percent slopes, eroded"|196|315661
"Brown County, Ohio"|2420363|"Bln3A"|"Blanchester silty clay loam, 0 to 1 percent slopes"|3836|315661
"Brown County, Ohio"|169709|"BoD2"|"Bonnell silt loam, 15 to 25 percent slopes, eroded"|16361|315661
"Brown County, Ohio"|169710|"BoE"|"Bonnell silt loam, 25 to 40 percent slopes"|4765|315661
"Brown County, Ohio"|169711|"BoF"|"Bonnell silt loam, 40 to 60 percent slopes"|720|315661
"Brown County, Ohio"|169712|"BrD3"|"Bonnell silty clay loam, 15 to 25 percent slopes, severely eroded"|1969|315661
"Brown County, Ohio"|169713|"ChF"|"Chili loam, 35 to 70 percent slopes"|233|315661
"Brown County, Ohio"|1904524|"Cle1A"|"Clermont silt loam, 0 to 1 percent slopes"|68405|315661
"Brown County, Ohio"|169714|"CnC2"|"Cincinnati silt loam, 6 to 12 percent slopes, eroded"|1257|315661
"Brown County, Ohio"|169716|"EaE"|"Eden flaggy silt loam, 25 to 40 percent slopes"|14290|315661
"Brown County, Ohio"|169717|"EaF"|"Eden flaggy silt loam, 40 to 70 percent slopes"|10576|315661
"Brown County, Ohio"|1585766|"EbE2"|"Eden flaggy silty clay loam, 25 to 40 percent slopes, eroded"|444|315661
"Brown County, Ohio"|1585767|"EbF2"|"Eden flaggy silty clay loam, 40 to 70 percent slopes, eroded"|287|315661
"Brown County, Ohio"|1585751|"EdG2"|"Edenton loam, 25 to 50 percent slopes, moderately eroded"|1|315661
"Brown County, Ohio"|169718|"EkB"|"Elkinsville silt loam, 2 to 6 percent slopes"|1802|315661
"Brown County, Ohio"|169719|"EkC2"|"Elkinsville silt loam, 6 to 12 percent slopes, eroded"|433|315661
"Brown County, Ohio"|1585769|"FbD2"|"Faywood silty clay loam, 15 to 25 percent slopes, eroded"|310|315661
"Brown County, Ohio"|169720|"FdD2"|"Faywood silt loam, 15 to 25 percent slopes, eroded"|9076|315661
"Brown County, Ohio"|169721|"FeC2"|"Faywood-Lowell silt loams, 8 to 15 percent slopes, eroded"|7897|315661
"Brown County, Ohio"|1585745|"FhB"|"Fitchville silt loam, 2 to 6 percent slopes"|1|315661
"Brown County, Ohio"|169722|"Ge"|"Genesee silt loam, 0 to 2 percent slopes, occasionally flooded"|5982|315661
"Brown County, Ohio"|1585768|"Gn"|"Gessie loam, frequently flooded"|10|315661
"Brown County, Ohio"|1585746|"HyC3"|"Hickory clay loam, 6 to 12 percent slopes, severely eroded"|6|315661
"Brown County, Ohio"|169723|"JeC2"|"Jessup silt loam, 8 to 15 percent slopes, eroded"|3539|315661
"Brown County, Ohio"|169724|"JeD2"|"Jessup silt loam, 15 to 25 percent slopes, eroded"|5438|315661
"Brown County, Ohio"|2403328|"JoR1A1"|"Jonesboro-Rossmoyne silt loams, 0 to 2 percent slopes"|6|315661
"Brown County, Ohio"|2403327|"JoR1B1"|"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes"|64231|315661
"Brown County, Ohio"|2403326|"JoR1B2"|"Jonesboro-Rossmoyne silt loams, 2 to 6 percent slopes, eroded"|298|315661
"Brown County, Ohio"|1585759|"JrC2"|"Jonesboro-Rossmoyne silt loams, 6 to 12 percent slopes, eroded"|14|315661
"Brown County, Ohio"|169725|"Ju"|"Jules silt loam, frequently flooded"|755|315661
"Brown County, Ohio"|1585747|"LnB"|"Loudon silt loam, 2 to 6 percent slopes"|356|315661
"Brown County, Ohio"|1585760|"LnC2"|"Loudon silt loam, 6 to 12 percent slopes, eroded"|2|315661
"Brown County, Ohio"|169726|"LoB2"|"Loudon silt loam, 3 to 8 percent slopes, eroded"|3911|315661
